Wall time,Step,Value
1765259433.7050152,10,-1.1399999856948853
1765259470.1513746,20,4.460000038146973
1765259506.519332,30,4.159999847412109
1765259542.933866,40,5.900000095367432
1765259579.4141104,50,3.8499999046325684
1765259615.7907207,60,6.489999771118164
1765259652.2943413,70,8.09000015258789
1765259688.7311175,80,5.670000076293945
1765259725.0918293,90,15.390000343322754
1765259761.468587,100,10.59000015258789
1765259797.7903178,110,14.119999885559082
1765259834.1930923,120,21.440000534057617
1765259870.6514037,130,13.869999885559082
1765259907.0060036,140,8.149999618530273
1765259943.4114645,150,9.199999809265137
1765259979.7672477,160,17.200000762939453
1765260016.1420314,170,16.75
1765260052.5327013,180,17.010000228881836
1765260088.8948624,190,18.75
1765260125.0788355,200,17.920000076293945
1765260161.3095326,210,15.710000038146973
1765260197.5313957,220,19.81999969482422
1765260233.7316854,230,17.139999389648438
1765260269.9886343,240,21.1200008392334
1765260306.2804298,250,14.020000457763672
1765260342.7561815,260,17.84000015258789
1765260378.9701724,270,18.040000915527344
1765260407.234873,280,19.6299991607666
1765260435.1405659,290,17.600000381469727
1765260463.1061373,300,14.720000267028809
1765260491.4596877,310,18.43000030517578
1765260519.741754,320,18.6299991607666
1765260548.0098288,330,20.450000762939453
1765260576.2502272,340,21.860000610351562
1765260604.6413724,350,17.520000457763672
1765260632.8890946,360,22.200000762939453
1765260661.2159085,370,22.049999237060547
1765260689.5038006,380,12.600000381469727
1765260717.7736835,390,27.280000686645508
1765260746.0994685,400,22.059999465942383
1765260774.3784645,410,28.459999084472656
1765260802.8934228,420,20.1299991607666
1765260831.138727,430,18.149999618530273
1765260859.4430895,440,16.950000762939453
1765260887.7510302,450,16.719999313354492
1765260916.0226972,460,14.869999885559082
1765260939.8328013,470,17.690000534057617
1765260963.0108328,480,20.31999969482422
1765260986.159075,490,21.729999542236328
1765261009.4542549,500,22.360000610351562
1765261032.686823,510,25.729999542236328
1765261055.8815095,520,20.43000030517578
1765261079.0821455,530,15.170000076293945
1765261102.3144593,540,13.850000381469727
1765261125.4854834,550,22.899999618530273
1765261148.695904,560,18.1299991607666
1765261171.8895593,570,22.479999542236328
1765261195.072212,580,9.319999694824219
1765261218.2960472,590,24.760000228881836
1765261241.513308,600,21.31999969482422
1765261264.7226627,610,22.049999237060547
1765261287.927282,620,18.1200008392334
1765261311.1533067,630,21.15999984741211
1765261334.354451,640,18.65999984741211
1765261357.552429,650,21.799999237060547
1765261380.7644076,660,19.770000457763672
1765261403.875622,670,22.270000457763672
1765261426.9604855,680,25.329999923706055
1765261451.925705,690,11.850000381469727
1765261479.984864,700,15.760000228881836
1765261508.069292,710,16.6200008392334
1765261536.308554,720,18.59000015258789
1765261564.441914,730,25.1299991607666
1765261592.5364437,740,20.549999237060547
1765261620.6503716,750,20.3700008392334
1765261648.7350357,760,12.75
1765261676.8371654,770,23.110000610351562
1765261704.882675,780,13.420000076293945
1765261732.949375,790,11.819999694824219
1765261761.1455169,800,22.649999618530273
1765261789.2808456,810,14.0600004196167
1765261817.4483953,820,15.600000381469727
1765261845.646595,830,17.950000762939453
1765261873.836567,840,12.760000228881836
1765261902.0248609,850,17.920000076293945
1765261930.217604,860,20.969999313354492
1765261958.3441792,870,17.979999542236328
1765261986.4840882,880,14.539999961853027
1765262014.6292372,890,19.8700008392334
1765262042.7767417,900,20.229999542236328
1765262070.916961,910,16.280000686645508
1765262096.4599855,920,15.300000190734863
1765262119.4769468,930,18.110000610351562
1765262142.4956088,940,15.09000015258789
1765262165.5209072,950,15.899999618530273
1765262188.5354185,960,19.0
1765262211.5615532,970,14.029999732971191
1765262234.5897148,980,17.030000686645508
1765262257.68219,990,15.609999656677246
1765262280.7659028,1000,19.520000457763672
